n_topics,topic,word_idx,weight
3.0,1.0,0.0,4.4513459585004966e-08
3.0,1.0,1.0,0.0016542449593544006
3.0,1.0,2.0,0.3082644045352936
3.0,1.0,3.0,0.2410997748374939
3.0,1.0,4.0,0.30971071124076843
3.0,1.0,5.0,0.1383921355009079
3.0,1.0,6.0,0.0008239776943810284
3.0,1.0,7.0,4.4513459585004966e-08
3.0,1.0,8.0,4.4513459585004966e-08
3.0,1.0,9.0,4.4602021631590105e-08
3.0,1.0,10.0,4.46055921088373e-08
3.0,1.0,11.0,4.464501301981727e-08
3.0,1.0,12.0,4.471321801702288e-08
3.0,1.0,13.0,4.481911375364689e-08
3.0,1.0,14.0,4.452824953204981e-08
3.0,1.0,15.0,4.522657448546852e-08
3.0,1.0,16.0,4.4513459585004966e-08
3.0,1.0,17.0,4.476621384696955e-08
3.0,1.0,18.0,3.7505127693293616e-05
3.0,1.0,19.0,1.1415094377298374e-05
3.0,1.0,20.0,4.4513459585004966e-08
3.0,1.0,21.0,5.283478913042927e-06
3.0,1.0,22.0,4.4513459585004966e-08
3.0,1.0,23.0,4.4513459585004966e-08
3.0,2.0,0.0,2.8234978799446253e-08
3.0,2.0,1.0,0.999886691570282
3.0,2.0,2.0,2.973201596034869e-08
3.0,2.0,3.0,2.9223819808521512e-08
3.0,2.0,4.0,2.9670308876461604e-08
3.0,2.0,5.0,3.38953825007593e-08
3.0,2.0,6.0,3.238634249669303e-08
3.0,2.0,7.0,2.8234978799446253e-08
3.0,2.0,8.0,2.8234978799446253e-08
3.0,2.0,9.0,2.8355898962217907e-08
3.0,2.0,10.0,2.8263370310810387e-08
3.0,2.0,11.0,2.8252184591792684e-08
3.0,2.0,12.0,2.8265207063782327e-08
3.0,2.0,13.0,2.8306791577392687e-08
3.0,2.0,14.0,2.8239004024044334e-08
3.0,2.0,15.0,2.838909551883262e-08
3.0,2.0,16.0,2.8234978799446253e-08
3.0,2.0,17.0,0.00011278454621788114
3.0,2.0,18.0,2.8293198894857596e-08
3.0,2.0,19.0,2.8243821503792788e-08
3.0,2.0,20.0,2.8234978799446253e-08
3.0,2.0,21.0,2.8239304228350193e-08
3.0,2.0,22.0,2.8234978799446253e-08
3.0,2.0,23.0,2.8234978799446253e-08
3.0,3.0,0.0,7.52486869259883e-07
3.0,3.0,1.0,0.00025996885960921645
3.0,3.0,2.0,0.00010084476525662467
3.0,3.0,3.0,7.770162255837931e-07
3.0,3.0,4.0,7.599409173053573e-07
3.0,3.0,5.0,7.89760633779224e-06
3.0,3.0,6.0,0.19447755813598633
3.0,3.0,7.0,7.52486869259883e-07
3.0,3.0,8.0,7.52486869259883e-07
3.0,3.0,9.0,0.5119499564170837
3.0,3.0,10.0,0.14920523762702942
3.0,3.0,11.0,0.08439603447914124
3.0,3.0,12.0,0.04709676280617714
3.0,3.0,13.0,0.011323506012558937
3.0,3.0,14.0,0.0005032015033066273
3.0,3.0,15.0,7.735085318927304e-07
3.0,3.0,16.0,7.52486869259883e-07
3.0,3.0,17.0,1.081233949662419e-05
3.0,3.0,18.0,0.0002806841512210667
3.0,3.0,19.0,0.0002534138038754463
3.0,3.0,20.0,7.52486869259883e-07
3.0,3.0,21.0,0.00012653959856834263
3.0,3.0,22.0,7.52486869259883e-07
3.0,3.0,23.0,7.52486869259883e-07
5.0,1.0,0.0,8.839376732794335e-07
5.0,1.0,1.0,0.0013566578272730112
5.0,1.0,2.0,8.840999612402811e-07
5.0,1.0,3.0,8.840793270792346e-07
5.0,1.0,4.0,8.840124223752355e-07
5.0,1.0,5.0,8.840147529554088e-07
5.0,1.0,6.0,8.840356144901307e-07
5.0,1.0,7.0,8.839376732794335e-07
5.0,1.0,8.0,8.839376732794335e-07
5.0,1.0,9.0,0.9985553026199341
5.0,1.0,10.0,1.0000047950597946e-05
5.0,1.0,11.0,8.840173677526764e-07
5.0,1.0,12.0,8.840181067171216e-07
5.0,1.0,13.0,8.840411283017602e-07
5.0,1.0,14.0,8.839673455440789e-07
5.0,1.0,15.0,8.839376732794335e-07
5.0,1.0,16.0,8.839376732794335e-07
5.0,1.0,17.0,5.6491815485060215e-05
5.0,1.0,18.0,4.762103344546631e-06
5.0,1.0,19.0,8.839929819259851e-07
5.0,1.0,20.0,8.839376732794335e-07
5.0,1.0,21.0,8.839925271786342e-07
5.0,1.0,22.0,8.839376732794335e-07
5.0,1.0,23.0,8.839376732794335e-07
5.0,2.0,0.0,1.5077094985826989e-06
5.0,2.0,1.0,0.00421015452593565
5.0,2.0,2.0,0.00034195018815808
5.0,2.0,3.0,0.010381409898400307
5.0,2.0,4.0,1.5090386114025023e-06
5.0,2.0,5.0,1.5079701825015945e-06
5.0,2.0,6.0,1.508034074504394e-06
5.0,2.0,7.0,1.5077094985826989e-06
5.0,2.0,8.0,1.5077094985826989e-06
5.0,2.0,9.0,0.00639352947473526
5.0,2.0,10.0,0.49823814630508423
5.0,2.0,11.0,0.2818308472633362
5.0,2.0,12.0,0.15727393329143524
5.0,2.0,13.0,0.03781326115131378
5.0,2.0,14.0,0.001679148874245584
5.0,2.0,15.0,1.5191155853244709e-06
5.0,2.0,16.0,1.5077094985826989e-06
5.0,2.0,17.0,1.5475528698516428e-06
5.0,2.0,18.0,0.0006716464995406568
5.0,2.0,19.0,0.000939507968723774
5.0,2.0,20.0,1.5077094985826989e-06
5.0,2.0,21.0,0.00020834151655435562
5.0,2.0,22.0,1.5077094985826989e-06
5.0,2.0,23.0,1.5077094985826989e-06
5.0,3.0,0.0,4.1174825327061626e-08
5.0,3.0,1.0,7.802758045727387e-05
5.0,3.0,2.0,4.197717728970929e-08
5.0,3.0,3.0,0.2900768518447876
5.0,3.0,4.0,0.4774693548679352
5.0,3.0,5.0,0.21335481107234955
5.0,3.0,6.0,0.01900455541908741
5.0,3.0,7.0,4.1174825327061626e-08
5.0,3.0,8.0,4.1174825327061626e-08
5.0,3.0,9.0,4.1183803034527955e-08
5.0,3.0,10.0,4.1180367560400555e-08
5.0,3.0,11.0,4.118477292536227e-08
5.0,3.0,12.0,4.1193402466888074e-08
5.0,3.0,13.0,4.1203794154398565e-08
5.0,3.0,14.0,4.117849528029183e-08
5.0,3.0,15.0,4.141003984159397e-08
5.0,3.0,16.0,4.1174825327061626e-08
5.0,3.0,17.0,4.1176669185460923e-08
5.0,3.0,18.0,4.1177077747533986e-08
5.0,3.0,19.0,1.8183906149715767e-06
5.0,3.0,20.0,4.1174825327061626e-08
5.0,3.0,21.0,1.3945438695373014e-05
5.0,3.0,22.0,4.1174825327061626e-08
5.0,3.0,23.0,4.1174825327061626e-08
5.0,4.0,0.0,1.6955162607246166e-08
5.0,4.0,1.0,0.9998875260353088
5.0,4.0,2.0,1.7075890923479164e-08
5.0,4.0,3.0,1.7047995015673223e-08
5.0,4.0,4.0,1.7057434575917796e-08
5.0,4.0,5.0,1.7283161568570904e-08
5.0,4.0,6.0,1.8183087036049983e-08
5.0,4.0,7.0,1.6955162607246166e-08
5.0,4.0,8.0,1.6955162607246166e-08
5.0,4.0,9.0,1.6959273096972538e-08
5.0,4.0,10.0,1.695713081062422e-08
5.0,4.0,11.0,1.6956164472503588e-08
5.0,4.0,12.0,1.695693008230137e-08
5.0,4.0,13.0,1.6958772164343827e-08
5.0,4.0,14.0,1.6956859028027793e-08
5.0,4.0,15.0,1.697289420121706e-08
5.0,4.0,16.0,1.6955162607246166e-08
5.0,4.0,17.0,0.0001121785317081958
5.0,4.0,18.0,1.6955816306563065e-08
