n_topics,topic,word_idx,weight
3.0,1.0,0.0,1.1506442660902394e-06
3.0,1.0,1.0,0.0012270353036001325
3.0,1.0,2.0,0.007199565414339304
3.0,1.0,3.0,1.4560179806721862e-05
3.0,1.0,4.0,1.166741185443243e-06
3.0,1.0,5.0,8.477990377286915e-06
3.0,1.0,6.0,1.1945660389756085e-06
3.0,1.0,7.0,1.1774568520195317e-06
3.0,1.0,8.0,1.1506442660902394e-06
3.0,1.0,9.0,0.5725467205047607
3.0,1.0,10.0,0.15417112410068512
3.0,1.0,11.0,0.08515710383653641
3.0,1.0,12.0,0.06630595773458481
3.0,1.0,13.0,0.047907181084156036
3.0,1.0,14.0,0.05262027308344841
3.0,1.0,15.0,0.011428446508944035
3.0,1.0,16.0,1.1506442660902394e-06
3.0,1.0,17.0,1.3638235031976365e-05
3.0,1.0,18.0,0.00030349905136972666
3.0,1.0,19.0,0.0002927336608991027
3.0,1.0,20.0,1.1506442660902394e-06
3.0,1.0,21.0,0.0007908709230832756
3.0,1.0,22.0,1.1506442660902394e-06
3.0,1.0,23.0,3.4515480820118682e-06
3.0,2.0,0.0,2.594714665349329e-08
3.0,2.0,1.0,0.9999104738235474
3.0,2.0,2.0,2.779773566885524e-08
3.0,2.0,3.0,2.697700729470398e-08
3.0,2.0,4.0,2.708076252133651e-08
3.0,2.0,5.0,2.7977561600778245e-08
3.0,2.0,6.0,2.898530837569524e-08
3.0,2.0,7.0,3.6255642044125125e-08
3.0,2.0,8.0,2.594714665349329e-08
3.0,2.0,9.0,7.201454366168036e-08
3.0,2.0,10.0,2.5967700878481992e-08
3.0,2.0,11.0,2.5958627247746335e-08
3.0,2.0,12.0,2.596270221033592e-08
3.0,2.0,13.0,2.59705235094998e-08
3.0,2.0,14.0,2.5955198879046293e-08
3.0,2.0,15.0,2.6062439317797725e-08
3.0,2.0,16.0,2.594714665349329e-08
3.0,2.0,17.0,8.891733159543946e-05
3.0,2.0,18.0,2.6431820288053132e-08
3.0,2.0,19.0,2.595384351877783e-08
3.0,2.0,20.0,2.594714665349329e-08
3.0,2.0,21.0,2.5950178894618148e-08
3.0,2.0,22.0,2.594714665349329e-08
3.0,2.0,23.0,2.595167991614744e-08
3.0,3.0,0.0,2.848369007324436e-08
3.0,3.0,1.0,0.0007634775247424841
3.0,3.0,2.0,0.20886768400669098
3.0,3.0,3.0,0.1631193310022354
3.0,3.0,4.0,0.23642536997795105
3.0,3.0,5.0,0.14768269658088684
3.0,3.0,6.0,0.15062181651592255
3.0,3.0,7.0,0.09249549359083176
3.0,3.0,8.0,2.848369007324436e-08
3.0,3.0,9.0,2.853022706972297e-08
3.0,3.0,10.0,2.8523876594022113e-08
3.0,3.0,11.0,2.8530097395673693e-08
3.0,3.0,12.0,2.8529997919690686e-08
3.0,3.0,13.0,2.8537973761899593e-08
3.0,3.0,14.0,2.852361546956672e-08
3.0,3.0,15.0,2.906755725007315e-08
3.0,3.0,16.0,2.848369007324436e-08
3.0,3.0,17.0,2.8566221388359736e-08
3.0,3.0,18.0,1.4757254575670231e-05
3.0,3.0,19.0,5.409623099694727e-06
3.0,3.0,20.0,2.848369007324436e-08
3.0,3.0,21.0,3.2348664262826787e-06
3.0,3.0,22.0,2.848369007324436e-08
3.0,3.0,23.0,4.281842791442614e-07
5.0,1.0,0.0,4.277876186620233e-08
5.0,1.0,1.0,0.0005864720442332327
5.0,1.0,2.0,9.509249503025785e-05
5.0,1.0,3.0,0.4075057804584503
5.0,1.0,4.0,0.5917867422103882
5.0,1.0,5.0,1.058202724379953e-05
5.0,1.0,6.0,4.323392843730289e-08
5.0,1.0,7.0,4.33449862669022e-08
5.0,1.0,8.0,4.277876186620233e-08
5.0,1.0,9.0,4.2787664966681405e-08
5.0,1.0,10.0,4.2786510334735794e-08
5.0,1.0,11.0,4.279316456745619e-08
5.0,1.0,12.0,4.279098675397108e-08
5.0,1.0,13.0,4.279097254311637e-08
5.0,1.0,14.0,4.2787725362813944e-08
5.0,1.0,15.0,4.279812770846547e-08
5.0,1.0,16.0,4.277876186620233e-08
5.0,1.0,17.0,4.278089704712329e-08
5.0,1.0,18.0,4.278088638898225e-08
5.0,1.0,19.0,1.4549059415003285e-05
5.0,1.0,20.0,4.277876186620233e-08
5.0,1.0,21.0,4.278087217812754e-08
5.0,1.0,22.0,4.277876186620233e-08
5.0,1.0,23.0,4.278640020061175e-08
5.0,2.0,0.0,4.372942896679888e-08
5.0,2.0,1.0,1.2435276403266471e-05
5.0,2.0,2.0,4.468346048724925e-08
5.0,2.0,3.0,4.459120361843816e-08
5.0,2.0,4.0,1.337306821369566e-05
5.0,2.0,5.0,0.37787163257598877
5.0,2.0,6.0,0.3854026198387146
5.0,2.0,7.0,0.2366728037595749
5.0,2.0,8.0,4.372942896679888e-08
5.0,2.0,9.0,4.37399663155702e-08
5.0,2.0,10.0,4.373579187699761e-08
5.0,2.0,11.0,4.373728046402903e-08
5.0,2.0,12.0,4.37423288701666e-08
5.0,2.0,13.0,4.374293638420568e-08
5.0,2.0,14.0,4.374384943162113e-08
5.0,2.0,15.0,3.5209793622925645e-06
5.0,2.0,16.0,4.372942896679888e-08
5.0,2.0,17.0,4.373060136231288e-08
5.0,2.0,18.0,4.373075768171475e-08
5.0,2.0,19.0,4.37317382306901e-08
5.0,2.0,20.0,4.372942896679888e-08
5.0,2.0,21.0,2.161942575185094e-05
5.0,2.0,22.0,4.372942896679888e-08
5.0,2.0,23.0,1.2147158940933878e-06
5.0,3.0,0.0,6.958271114854142e-07
5.0,3.0,1.0,0.001000105869024992
5.0,3.0,2.0,1.1932442021134193e-06
5.0,3.0,3.0,5.946848887106171e-06
5.0,3.0,4.0,6.958912308618892e-07
5.0,3.0,5.0,6.959041911613895e-07
5.0,3.0,6.0,6.95886399171286e-07
5.0,3.0,7.0,6.958791800570907e-07
5.0,3.0,8.0,6.958271114854142e-07
5.0,3.0,9.0,0.5770602822303772
5.0,3.0,10.0,0.1553855538368225
5.0,3.0,11.0,0.08582771569490433
5.0,3.0,12.0,0.06682801246643066
5.0,3.0,13.0,0.04828426614403725
5.0,3.0,14.0,0.05303451046347618
5.0,3.0,15.0,0.01146351732313633
5.0,3.0,16.0,6.958271114854142e-07
5.0,3.0,17.0,1.3004271750105545e-05
5.0,3.0,18.0,0.0002273084392072633
5.0,3.0,19.0,0.0002777251647785306
5.0,3.0,20.0,6.958271114854142e-07
5.0,3.0,21.0,0.000583913060836494
5.0,3.0,22.0,6.958271114854142e-07
