n_topics,topic,word_idx,weight
3.0,1.0,0.0,8.316949902109627e-07
3.0,1.0,1.0,0.0030381246469914913
3.0,1.0,2.0,0.013621343299746513
3.0,1.0,3.0,8.540091585018672e-07
3.0,1.0,4.0,8.343482136297098e-07
3.0,1.0,5.0,1.1091890428360784e-06
3.0,1.0,6.0,8.316949902109627e-07
3.0,1.0,7.0,8.316949902109627e-07
3.0,1.0,8.0,8.316949902109627e-07
3.0,1.0,9.0,0.6813303232192993
3.0,1.0,10.0,0.20643940567970276
3.0,1.0,11.0,0.08093168586492538
3.0,1.0,12.0,0.013829885981976986
3.0,1.0,13.0,8.795254302640387e-07
3.0,1.0,14.0,8.316949902109627e-07
3.0,1.0,15.0,8.316949902109627e-07
3.0,1.0,16.0,8.316949902109627e-07
3.0,1.0,17.0,8.971835995907895e-06
3.0,1.0,18.0,0.0004295171529520303
3.0,1.0,19.0,0.00035783613566309214
3.0,1.0,20.0,8.316949902109627e-07
3.0,1.0,21.0,8.317695687765081e-07
3.0,1.0,22.0,8.316949902109627e-07
3.0,1.0,23.0,8.316949902109627e-07
3.0,2.0,0.0,5.630662158750965e-08
3.0,2.0,1.0,0.0006397809484042227
3.0,2.0,2.0,0.38802510499954224
3.0,2.0,3.0,0.2973635792732239
3.0,2.0,4.0,0.31384915113449097
3.0,2.0,5.0,1.502707362988076e-07
3.0,2.0,6.0,5.630662158750965e-08
3.0,2.0,7.0,5.630662158750965e-08
3.0,2.0,8.0,5.630662158750965e-08
3.0,2.0,9.0,5.643194000981566e-08
3.0,2.0,10.0,6.027480026205012e-08
3.0,2.0,11.0,4.648878075386165e-06
3.0,2.0,12.0,3.332653795951046e-05
3.0,2.0,13.0,5.83626444949914e-08
3.0,2.0,14.0,5.630662158750965e-08
3.0,2.0,15.0,5.630662158750965e-08
3.0,2.0,16.0,5.630662158750965e-08
3.0,2.0,17.0,5.66387328149176e-08
3.0,2.0,18.0,6.528983794851229e-05
3.0,2.0,19.0,1.812363916542381e-05
3.0,2.0,20.0,5.630662158750965e-08
3.0,2.0,21.0,5.6309819029820574e-08
3.0,2.0,22.0,5.630662158750965e-08
3.0,2.0,23.0,5.630662158750965e-08
3.0,3.0,0.0,2.89761228344787e-08
3.0,3.0,1.0,0.999849796295166
3.0,3.0,2.0,3.0315213450649026e-08
3.0,3.0,3.0,2.98602422788008e-08
3.0,3.0,4.0,3.106958246235081e-08
3.0,3.0,5.0,2.9798721712381848e-08
3.0,3.0,6.0,2.89761228344787e-08
3.0,3.0,7.0,2.89761228344787e-08
3.0,3.0,8.0,2.89761228344787e-08
3.0,3.0,9.0,2.9084311847782374e-08
