n_topics,topic,word_idx,weight
3.0,1.0,0.0,9.795212463359348e-08
3.0,1.0,1.0,0.004457991104573011
3.0,1.0,2.0,0.6755747199058533
3.0,1.0,3.0,0.31976962089538574
3.0,1.0,4.0,1.034991115034245e-07
3.0,1.0,5.0,9.795212463359348e-08
3.0,1.0,6.0,9.795212463359348e-08
3.0,1.0,7.0,9.795212463359348e-08
3.0,1.0,8.0,9.795212463359348e-08
3.0,1.0,9.0,9.824303504046838e-08
3.0,1.0,10.0,9.834166547761924e-08
3.0,1.0,11.0,9.870224459973542e-08
3.0,1.0,12.0,1.0648072645835782e-07
3.0,1.0,13.0,1.1069799654706003e-07
3.0,1.0,14.0,9.795212463359348e-08
3.0,1.0,15.0,9.795212463359348e-08
3.0,1.0,16.0,9.795212463359348e-08
3.0,1.0,17.0,9.863587990821543e-08
3.0,1.0,18.0,0.000157241738634184
3.0,1.0,19.0,3.865979306283407e-05
3.0,1.0,20.0,9.795212463359348e-08
3.0,1.0,21.0,9.795212463359348e-08
3.0,1.0,22.0,9.795212463359348e-08
3.0,1.0,23.0,9.795212463359348e-08
3.0,2.0,0.0,7.841688329790486e-07
3.0,2.0,1.0,0.0028121047653257847
3.0,2.0,2.0,8.208152735278418e-07
3.0,2.0,3.0,7.889553899076418e-07
3.0,2.0,4.0,8.29794657875027e-07
3.0,2.0,5.0,7.841688329790486e-07
3.0,2.0,6.0,7.841688329790486e-07
3.0,2.0,7.0,7.841688329790486e-07
3.0,2.0,8.0,7.841688329790486e-07
3.0,2.0,9.0,0.7903116941452026
3.0,2.0,10.0,0.17715556919574738
3.0,2.0,11.0,0.02930299937725067
3.0,2.0,12.0,9.96575977296743e-07
3.0,2.0,13.0,8.70690826104692e-07
3.0,2.0,14.0,7.841688329790486e-07
3.0,2.0,15.0,7.841688329790486e-07
3.0,2.0,16.0,7.841688329790486e-07
3.0,2.0,17.0,1.5725001503597014e-05
3.0,2.0,18.0,0.000325317116221413
3.0,2.0,19.0,6.276072235777974e-05
3.0,2.0,20.0,7.841688329790486e-07
3.0,2.0,21.0,7.841688329790486e-07
3.0,2.0,22.0,7.841688329790486e-07
3.0,2.0,23.0,7.841688329790486e-07
3.0,3.0,0.0,2.9367960507897806e-08
3.0,3.0,1.0,0.9998086094856262
3.0,3.0,2.0,3.049080277151006e-08
3.0,3.0,3.0,3.038987017589534e-08
3.0,3.0,4.0,2.9608324680907572e-08
3.0,3.0,5.0,2.9367960507897806e-08
3.0,3.0,6.0,2.9367960507897806e-08
3.0,3.0,7.0,2.9367960507897806e-08
3.0,3.0,8.0,2.9367960507897806e-08
3.0,3.0,9.0,2.9475950569235465e-08
3.0,3.0,10.0,2.940709897814031e-08
3.0,3.0,11.0,2.94138295942048e-08
3.0,3.0,12.0,2.969721357715116e-08
3.0,3.0,13.0,2.965622059036832e-08
3.0,3.0,14.0,2.9367960507897806e-08
3.0,3.0,15.0,2.9367960507897806e-08
3.0,3.0,16.0,2.9367960507897806e-08
3.0,3.0,17.0,0.00019076434546150267
3.0,3.0,18.0,2.9395092582262805e-08
3.0,3.0,19.0,2.9373110166375227e-08
3.0,3.0,20.0,2.9367960507897806e-08
3.0,3.0,21.0,2.9367960507897806e-08
3.0,3.0,22.0,2.9367960507897806e-08
3.0,3.0,23.0,2.9367960507897806e-08
5.0,1.0,0.0,8.631748471543688e-08
5.0,1.0,1.0,0.007828090339899063
5.0,1.0,2.0,0.9919270277023315
5.0,1.0,3.0,8.731764467029279e-08
5.0,1.0,4.0,8.710716770110594e-08
5.0,1.0,5.0,8.631748471543688e-08
5.0,1.0,6.0,8.631748471543688e-08
5.0,1.0,7.0,8.631748471543688e-08
5.0,1.0,8.0,8.631748471543688e-08
5.0,1.0,9.0,8.634997072931583e-08
5.0,1.0,10.0,8.633456616280455e-08
5.0,1.0,11.0,8.633364956267542e-08
5.0,1.0,12.0,8.701928067011977e-08
5.0,1.0,13.0,8.735344891874774e-08
5.0,1.0,14.0,8.631748471543688e-08
5.0,1.0,15.0,8.631748471543688e-08
5.0,1.0,16.0,8.631748471543688e-08
5.0,1.0,17.0,8.632851233869587e-08
5.0,1.0,18.0,0.0002429581363685429
5.0,1.0,19.0,8.63207816337308e-08
5.0,1.0,20.0,8.631748471543688e-08
5.0,1.0,21.0,8.631748471543688e-08
5.0,1.0,22.0,8.631748471543688e-08
5.0,1.0,23.0,8.631748471543688e-08
5.0,2.0,0.0,1.7628833504090835e-08
5.0,2.0,1.0,0.9998090863227844
5.0,2.0,2.0,1.773977054142506e-08
5.0,2.0,3.0,1.767855017931197e-08
5.0,2.0,4.0,1.76563652587447e-08
5.0,2.0,5.0,1.7628833504090835e-08
5.0,2.0,6.0,1.7628833504090835e-08
5.0,2.0,7.0,1.7628833504090835e-08
5.0,2.0,8.0,1.7628833504090835e-08
5.0,2.0,9.0,1.7635636950785738e-08
5.0,2.0,10.0,1.7630732429552154e-08
5.0,2.0,11.0,1.763038603996847e-08
5.0,2.0,12.0,1.7663614571006292e-08
5.0,2.0,13.0,1.7660225282156716e-08
5.0,2.0,14.0,1.7628833504090835e-08
5.0,2.0,15.0,1.7628833504090835e-08
5.0,2.0,16.0,1.7628833504090835e-08
5.0,2.0,17.0,0.00019061140483245254
5.0,2.0,18.0,1.7629897541837636e-08
5.0,2.0,19.0,1.7629016468845293e-08
5.0,2.0,20.0,1.7628833504090835e-08
5.0,2.0,21.0,1.7628833504090835e-08
5.0,2.0,22.0,1.7628833504090835e-08
5.0,2.0,23.0,1.7628833504090835e-08
5.0,3.0,0.0,2.220174110334483e-06
5.0,3.0,1.0,0.018815679475665092
5.0,3.0,2.0,0.0030297974590212107
5.0,3.0,3.0,2.2205422283150256e-06
5.0,3.0,4.0,2.2336337224260205e-06
5.0,3.0,5.0,2.220174110334483e-06
5.0,3.0,6.0,2.220174110334483e-06
5.0,3.0,7.0,2.220174110334483e-06
5.0,3.0,8.0,2.220174110334483e-06
5.0,3.0,9.0,0.002656613476574421
5.0,3.0,10.0,0.8359505534172058
5.0,3.0,11.0,0.13827267289161682
5.0,3.0,12.0,2.4009009393921588e-06
5.0,3.0,13.0,2.3284983399207704e-06
5.0,3.0,14.0,2.220174110334483e-06
5.0,3.0,15.0,2.220174110334483e-06
5.0,3.0,16.0,2.220174110334483e-06
5.0,3.0,17.0,1.3549327377404552e-05
5.0,3.0,18.0,0.0012230952270328999
5.0,3.0,19.0,2.2262072434386937e-06
5.0,3.0,20.0,2.220174110334483e-06
5.0,3.0,21.0,2.220174110334483e-06
5.0,3.0,22.0,2.220174110334483e-06
5.0,3.0,23.0,2.220174110334483e-06
5.0,4.0,0.0,5.950004151600297e-07
5.0,4.0,1.0,0.0012392367934808135
