,3,5,10,20,30,40,50,60,70,80,90,100
test,-0.8589334470383492,-0.6909942657603668,-0.6622545952624476,-0.6742230237606982,-2.215517928312498,-2.5884722044897623,-2.966196596564802,-3.3218877294448235,-3.70220804220878,-4.062593418001292,-4.43668325739755,-4.806189811820377
train,-1.8788582697006144,-1.0991390568034265,-1.0434507413414325,-1.0431290606360704,-1.3171108520318997,-1.3807963757841333,-1.4437720298389034,-1.5060150174907332,-1.5720574288291593,-1.6341408055585867,-1.698459541614659,-1.761150311228139
