n_topics,topic,word_idx,weight
3.0,1.0,0.0,0.9998452663421631
3.0,1.0,1.0,2.9764695597123136e-08
3.0,1.0,2.0,2.976358537409851e-08
3.0,1.0,3.0,2.976358537409851e-08
3.0,1.0,4.0,2.976358537409851e-08
3.0,1.0,5.0,2.976358537409851e-08
3.0,1.0,6.0,2.976358537409851e-08
3.0,1.0,7.0,2.976358537409851e-08
3.0,1.0,8.0,0.0001541532838018611
3.0,1.0,9.0,2.976358537409851e-08
3.0,1.0,10.0,2.976358537409851e-08
3.0,1.0,11.0,2.9765852005425586e-08
3.0,1.0,12.0,2.976358537409851e-08
3.0,1.0,13.0,2.976358537409851e-08
3.0,1.0,14.0,2.976358537409851e-08
3.0,1.0,15.0,2.976358537409851e-08
3.0,1.0,16.0,2.976358537409851e-08
3.0,1.0,17.0,2.976358537409851e-08
3.0,1.0,18.0,2.976358537409851e-08
3.0,1.0,19.0,2.976358537409851e-08
3.0,1.0,20.0,2.976358537409851e-08
3.0,1.0,21.0,2.976358537409851e-08
3.0,1.0,22.0,2.976358537409851e-08
3.0,1.0,23.0,2.976358537409851e-08
3.0,2.0,0.0,0.9998494982719421
3.0,2.0,1.0,2.825207978673916e-08
3.0,2.0,2.0,2.8251022854419716e-08
3.0,2.0,3.0,2.8251022854419716e-08
3.0,2.0,4.0,2.8251022854419716e-08
3.0,2.0,5.0,2.8251022854419716e-08
3.0,2.0,6.0,2.8251022854419716e-08
3.0,2.0,7.0,2.8251022854419716e-08
3.0,2.0,8.0,0.00014992205251473933
3.0,2.0,9.0,2.8251022854419716e-08
3.0,2.0,10.0,2.8251022854419716e-08
3.0,2.0,11.0,2.825317757526591e-08
3.0,2.0,12.0,2.8251022854419716e-08
3.0,2.0,13.0,2.8251022854419716e-08
3.0,2.0,14.0,2.8251022854419716e-08
3.0,2.0,15.0,2.8251022854419716e-08
3.0,2.0,16.0,2.8251022854419716e-08
3.0,2.0,17.0,2.8251022854419716e-08
3.0,2.0,18.0,2.8251022854419716e-08
3.0,2.0,19.0,2.8251022854419716e-08
3.0,2.0,20.0,2.8251022854419716e-08
3.0,2.0,21.0,2.8251022854419716e-08
