n_topics,topic,word_idx,weight
3.0,1.0,0.0,0.0174773707985878
3.0,1.0,1.0,0.9825209379196167
3.0,1.0,2.0,7.508803889777482e-08
3.0,1.0,3.0,7.231224685710913e-08
3.0,1.0,4.0,8.067843992876078e-08
3.0,1.0,5.0,7.180531014228109e-08
3.0,1.0,6.0,7.180531014228109e-08
3.0,1.0,7.0,7.180531014228109e-08
3.0,1.0,8.0,7.587838268818814e-08
3.0,1.0,9.0,7.54037046135636e-08
3.0,1.0,10.0,7.197346718612607e-08
3.0,1.0,11.0,7.302552518240191e-08
3.0,1.0,12.0,7.180531014228109e-08
3.0,1.0,13.0,7.180531014228109e-08
3.0,1.0,14.0,7.180531014228109e-08
3.0,1.0,15.0,7.180531014228109e-08
3.0,1.0,16.0,7.180531014228109e-08
3.0,1.0,17.0,7.180531014228109e-08
3.0,1.0,18.0,7.180531014228109e-08
3.0,1.0,19.0,7.180531014228109e-08
3.0,1.0,20.0,7.180531014228109e-08
3.0,1.0,21.0,7.180531014228109e-08
3.0,1.0,22.0,7.180531014228109e-08
3.0,1.0,23.0,7.180531014228109e-08
3.0,2.0,0.0,0.9999998211860657
3.0,2.0,1.0,7.329393980626264e-09
3.0,2.0,2.0,7.2124333172496335e-09
3.0,2.0,3.0,7.165477100556927e-09
3.0,2.0,4.0,9.640117148990157e-09
3.0,2.0,5.0,7.113248656764881e-09
3.0,2.0,6.0,7.113248656764881e-09
3.0,2.0,7.0,7.113248656764881e-09
3.0,2.0,8.0,7.321859563091948e-09
3.0,2.0,9.0,7.115120048695189e-09
3.0,2.0,10.0,7.1136594392839925e-09
3.0,2.0,11.0,7.1563461823132e-09
3.0,2.0,12.0,7.113248656764881e-09
3.0,2.0,13.0,7.113248656764881e-09
3.0,2.0,14.0,7.113248656764881e-09
3.0,2.0,15.0,7.113248656764881e-09
3.0,2.0,16.0,7.113248656764881e-09
3.0,2.0,17.0,7.113248656764881e-09
3.0,2.0,18.0,7.113248656764881e-09
3.0,2.0,19.0,7.113248656764881e-09
3.0,2.0,20.0,7.113248656764881e-09
3.0,2.0,21.0,7.113248656764881e-09
3.0,2.0,22.0,7.113248656764881e-09
3.0,2.0,23.0,7.113248656764881e-09
3.0,3.0,0.0,0.00020792518625967205
3.0,3.0,1.0,2.724650869367906e-07
3.0,3.0,2.0,0.9980054497718811
3.0,3.0,3.0,1.0957967788272072e-05
3.0,3.0,4.0,2.403990606580919e-07
3.0,3.0,5.0,2.3810632399090537e-07
3.0,3.0,6.0,2.3810632399090537e-07
3.0,3.0,7.0,2.3810632399090537e-07
3.0,3.0,8.0,0.0013949503190815449
3.0,3.0,9.0,0.00029206002363935113
3.0,3.0,10.0,8.332199649885297e-05
3.0,3.0,11.0,1.2308199757171678e-06
3.0,3.0,12.0,2.3810632399090537e-07
3.0,3.0,13.0,2.3810632399090537e-07
3.0,3.0,14.0,2.3810632399090537e-07
3.0,3.0,15.0,2.3810632399090537e-07
3.0,3.0,16.0,2.3810632399090537e-07
3.0,3.0,17.0,2.3810632399090537e-07
3.0,3.0,18.0,2.3810632399090537e-07
3.0,3.0,19.0,2.3810632399090537e-07
3.0,3.0,20.0,2.3810632399090537e-07
3.0,3.0,21.0,2.3810632399090537e-07
3.0,3.0,22.0,2.3810632399090537e-07
3.0,3.0,23.0,2.3810632399090537e-07
5.0,1.0,0.0,0.007584945298731327
5.0,1.0,1.0,2.795921716369776e-07
5.0,1.0,2.0,0.9924116730690002
5.0,1.0,3.0,1.4207647325292783e-07
5.0,1.0,4.0,1.4266230152770731e-07
5.0,1.0,5.0,1.4206304399522196e-07
5.0,1.0,6.0,1.4206304399522196e-07
