n_topics,topic,word_idx,weight
3.0,1.0,0.0,0.9999997615814209
3.0,1.0,1.0,9.438878123546601e-09
3.0,1.0,2.0,9.183940719026396e-09
3.0,1.0,3.0,9.17954423584888e-09
3.0,1.0,4.0,9.172653747668846e-09
3.0,1.0,5.0,9.172653747668846e-09
3.0,1.0,6.0,9.172653747668846e-09
3.0,1.0,7.0,9.172653747668846e-09
3.0,1.0,8.0,9.172988590933073e-09
3.0,1.0,9.0,9.172718584693484e-09
3.0,1.0,10.0,9.173033888032478e-09
3.0,1.0,11.0,9.18594178500598e-09
3.0,1.0,12.0,9.172653747668846e-09
3.0,1.0,13.0,9.172653747668846e-09
3.0,1.0,14.0,9.172653747668846e-09
3.0,1.0,15.0,9.172653747668846e-09
3.0,1.0,16.0,9.172653747668846e-09
3.0,1.0,17.0,9.172653747668846e-09
3.0,1.0,18.0,9.172653747668846e-09
3.0,1.0,19.0,9.172653747668846e-09
3.0,1.0,20.0,9.172653747668846e-09
3.0,1.0,21.0,9.172653747668846e-09
3.0,1.0,22.0,9.172653747668846e-09
3.0,1.0,23.0,9.172653747668846e-09
3.0,2.0,0.0,0.008167028427124023
3.0,2.0,1.0,0.991830587387085
3.0,2.0,2.0,1.1277281686261631e-07
3.0,2.0,3.0,1.125348489949829e-07
3.0,2.0,4.0,1.1245209918797627e-07
3.0,2.0,5.0,1.1245209918797627e-07
3.0,2.0,6.0,1.1245209918797627e-07
3.0,2.0,7.0,1.1245209918797627e-07
3.0,2.0,8.0,1.1245562347994564e-07
3.0,2.0,9.0,1.1248658893237007e-07
3.0,2.0,10.0,1.1247837505834468e-07
3.0,2.0,11.0,1.1261352028668625e-07
3.0,2.0,12.0,1.1245209918797627e-07
3.0,2.0,13.0,1.1245209918797627e-07
3.0,2.0,14.0,1.1245209918797627e-07
3.0,2.0,15.0,1.1245209918797627e-07
3.0,2.0,16.0,1.1245209918797627e-07
3.0,2.0,17.0,1.1245209918797627e-07
3.0,2.0,18.0,1.1245209918797627e-07
3.0,2.0,19.0,1.1245209918797627e-07
3.0,2.0,20.0,1.1245209918797627e-07
3.0,2.0,21.0,1.1245209918797627e-07
3.0,2.0,22.0,1.1245209918797627e-07
3.0,2.0,23.0,1.1245209918797627e-07
3.0,3.0,0.0,0.0002262331690872088
3.0,3.0,1.0,0.00011516565427882597
3.0,3.0,2.0,0.005563585087656975
3.0,3.0,3.0,0.0003418044652789831
3.0,3.0,4.0,0.00011367705155862495
3.0,3.0,5.0,0.00011367705155862495
3.0,3.0,6.0,0.00011367705155862495
3.0,3.0,7.0,0.00011367705155862495
3.0,3.0,8.0,0.9175488948822021
3.0,3.0,9.0,0.07314298301935196
3.0,3.0,10.0,0.00016204576240852475
3.0,3.0,11.0,0.0010804797057062387
3.0,3.0,12.0,0.00011367705155862495
3.0,3.0,13.0,0.00011367705155862495
3.0,3.0,14.0,0.00011367705155862495
3.0,3.0,15.0,0.00011367705155862495
3.0,3.0,16.0,0.00011367705155862495
3.0,3.0,17.0,0.00011367705155862495
3.0,3.0,18.0,0.00011367705155862495
3.0,3.0,19.0,0.00011367705155862495
3.0,3.0,20.0,0.00011367705155862495
3.0,3.0,21.0,0.00011367705155862495
3.0,3.0,22.0,0.00011367705155862495
3.0,3.0,23.0,0.00011367705155862495
5.0,1.0,0.0,0.0006945352652110159
5.0,1.0,1.0,7.438020111294463e-05
5.0,1.0,2.0,7.42699921829626e-05
5.0,1.0,3.0,7.427619129884988e-05
5.0,1.0,4.0,7.426662341458723e-05
5.0,1.0,5.0,7.426662341458723e-05
5.0,1.0,6.0,7.426662341458723e-05
5.0,1.0,7.0,7.426662341458723e-05
5.0,1.0,8.0,0.9976710081100464
5.0,1.0,9.0,7.428802200593054e-05
5.0,1.0,10.0,7.481488137273118e-05
5.0,1.0,11.0,7.426975935231894e-05
5.0,1.0,12.0,7.426662341458723e-05
5.0,1.0,13.0,7.426662341458723e-05
5.0,1.0,14.0,7.426662341458723e-05
5.0,1.0,15.0,7.426662341458723e-05
5.0,1.0,16.0,7.426662341458723e-05
5.0,1.0,17.0,7.426662341458723e-05
5.0,1.0,18.0,7.426662341458723e-05
5.0,1.0,19.0,7.426662341458723e-05
5.0,1.0,20.0,7.426662341458723e-05
5.0,1.0,21.0,7.426662341458723e-05
5.0,1.0,22.0,7.426662341458723e-05
5.0,1.0,23.0,7.426662341458723e-05
5.0,2.0,0.0,0.3921724259853363
5.0,2.0,1.0,0.6078252196311951
5.0,2.0,2.0,1.0352113832823306e-07
5.0,2.0,3.0,1.0352071200259161e-07
5.0,2.0,4.0,1.0351765666882784e-07
5.0,2.0,5.0,1.0351765666882784e-07
5.0,2.0,6.0,1.0351765666882784e-07
5.0,2.0,7.0,1.0351765666882784e-07
5.0,2.0,8.0,1.0351789114793064e-07
5.0,2.0,9.0,1.0351774193395613e-07
5.0,2.0,10.0,1.0352037094207844e-07
5.0,2.0,11.0,1.035210317468227e-07
5.0,2.0,12.0,1.0351765666882784e-07
5.0,2.0,13.0,1.0351765666882784e-07
5.0,2.0,14.0,1.0351765666882784e-07
5.0,2.0,15.0,1.0351765666882784e-07
5.0,2.0,16.0,1.0351765666882784e-07
5.0,2.0,17.0,1.0351765666882784e-07
5.0,2.0,18.0,1.0351765666882784e-07
5.0,2.0,19.0,1.0351765666882784e-07
5.0,2.0,20.0,1.0351765666882784e-07
5.0,2.0,21.0,1.0351765666882784e-07
5.0,2.0,22.0,1.0351765666882784e-07
5.0,2.0,23.0,1.0351765666882784e-07
5.0,3.0,0.0,0.9999998807907104
5.0,3.0,1.0,5.6443809626216535e-09
5.0,3.0,2.0,5.617227571974581e-09
5.0,3.0,3.0,5.6173687923433135e-09
5.0,3.0,4.0,5.617160958593104e-09
5.0,3.0,5.0,5.617160958593104e-09
5.0,3.0,6.0,5.617160958593104e-09
5.0,3.0,7.0,5.617160958593104e-09
5.0,3.0,8.0,5.617178722161498e-09
5.0,3.0,9.0,5.617162734949943e-09
5.0,3.0,10.0,5.617178278072288e-09
5.0,3.0,11.0,5.6172861917502814e-09
5.0,3.0,12.0,5.617160958593104e-09
5.0,3.0,13.0,5.617160958593104e-09
5.0,3.0,14.0,5.617160958593104e-09
5.0,3.0,15.0,5.617160958593104e-09
5.0,3.0,16.0,5.617160958593104e-09
